configuration_id,TARGET_CLASS,criterion,Coverage,BranchCoverage,CBranchCoverage,Total_Branches,Covered_Branches,Covered_Branches_Real,Total_Goals,Covered_Goals;
DEFAULT,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
DEFAULT,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,0.6666666666666666,0.6666666666666666,0.6666666666666666,20,13,13,42,28
DEFAULT,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
DEFAULT,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
CMX,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
CMX,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
CMX,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
CMX,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
CMX,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
CMX,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
CMX,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
CMX,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
